,time,aug_factor,u00,u07,u10,u17,u34,u35,u47,u00,u07,u10,u17,u34,u35,u47,mse,entropy,model,feature num,random seed
0,1642470701,0,0.04137931,0.019230769,0.056338028,0.185714286,0,0.086956522,0.059701493,0,0,0,1,0,0,0,0.097063282,2.259343432,RF,6,0
1,1642470701,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857143,0,LR,6,0
2,1642470701,0,0.048275862,0.038461538,0.056338028,0.085714286,0.029850746,0.072463768,0.074626866,0,0,0,1,0,0,0,0.122087632,2.727113802,DT,6,0
3,1642470701,0,0.006896552,0,0.028169014,0.042857143,0,0.014492754,0,0,0,0,1,0,0,0,0.131024792,1.735121072,GBDT,6,0
4,1642470701,0,0,0,0,0.071428571,0,0,0,0,0,0,1,0,0,0,0.123177843,0,AB,6,0
5,1642470701,0,0.006896552,0.019230769,0.014084507,0.142857143,0,0,0,0,0,0,1,0,0,0,0.105044234,1.083593787,GNB,6,0
6,1642470701,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857143,0,LDA,6,0
7,1642470701,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0,0.115714286,0,QDA,6,0
8,1642470701,0,0,0,0,0.014285714,0,0,0,0,0,0,1,0,0,0,0.138804665,0,SVM,6,0
9,1642470701,0,0.027586207,0,0.028169014,0.057142857,0.014925373,0.028985507,0.014925373,0,0,0,1,0,0,0,0.127402825,2.42561379,KNN,6,0
10,1642470702,1,0.04137931,0.038461538,0.042253521,0.185714286,0.029850746,0.115942029,0.119402985,0,0,0,1,0,0,0,0.099518402,2.499570654,RF,6,0
11,1642470702,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857143,0,LR,6,0
12,1642470702,1,0.068965517,0.096153846,0.042253521,0.242857143,0.014925373,0.15942029,0.104477612,0,0,0,1,0,0,0,0.089372234,2.469802648,DT,6,0
13,1642470702,1,0.006896552,0,0.028169014,0.085714286,0,0.028985507,0,0,0,0,1,0,0,0,0.119657083,1.577207871,GBDT,6,0
14,1642470702,1,0,0,0.014084507,0.142857143,0,0,0,0,0,0,1,0,0,0,0.104984607,0.435613373,AB,6,0
15,1642470702,1,0.020689655,0.019230769,0.014084507,0.142857143,0,0,0.014925373,0,0,0,1,0,0,0,0.105130415,1.554997247,GNB,6,0
16,1642470702,1,0,0,0,0.014285714,0,0,0,0,0,0,1,0,0,0,0.138804665,0,LDA,6,0
17,1642470702,1,0.04137931,0.019230769,0.014084507,0.142857143,0,0,0,0,0,0,1,0,0,0,0.105282046,1.418920906,QDA,6,0
18,1642470703,1,0,0,0,0.042857143,0,0,0,0,0,0,1,0,0,0,0.130874636,0,SVM,6,0
19,1642470703,1,0.055172414,0.057692308,0.070422535,0.214285714,0.014925373,0.086956522,0.044776119,0,0,0,1,0,0,0,0.091209682,2.450696714,KNN,6,0
20,1642470704,2,0.062068966,0.076923077,0.126760563,0.171428571,0.044776119,0.130434783,0.149253731,0,0,0,1,0,0,0,0.107666197,2.680743186,RF,6,0
21,1642470704,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857143,0,LR,6,0
22,1642470704,2,0.062068966,0.115384615,0.084507042,0.1,0.029850746,0.130434783,0.119402985,0,0,0,1,0,0,0,0.123781283,2.698812545,DT,6,0
23,1642470704,2,0.006896552,0,0.042253521,0.071428571,0,0.028985507,0,0,0,0,1,0,0,0,0.123559711,1.687851748,GBDT,6,0
24,1642470704,2,0,0,0,0.1,0,0.028985507,0,0,0,0,1,0,0,0,0.115834309,0.768691303,AB,6,0
25,1642470704,2,0.04137931,0.019230769,0.014084507,0.142857143,0,0.014492754,0.014925373,0,0,0,1,0,0,0,0.105343875,1.895817279,GNB,6,0
26,1642470704,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857143,0,LDA,6,0
27,1642470704,2,0.013793103,0.019230769,0,0.114285714,0,0,0,0,0,0,1,0,0,0,0.112149981,0.987502688,QDA,6,0
28,1642470704,2,0,0,0,0.057142857,0,0,0,0,0,0,1,0,0,0,0.126997085,0,SVM,6,0
29,1642470704,2,0.096551724,0.057692308,0.098591549,0.157142857,0.029850746,0.144927536,0.119402985,0,0,0,1,0,0,0,0.109847318,2.665582201,KNN,6,0
30,1642470706,3,0.062068966,0.096153846,0.126760563,0.085714286,0.044776119,0.15942029,0.149253731,0,0,0,1,0,0,0,0.130683019,2.693680989,RF,6,0
31,1642470706,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857143,0,LR,6,0
32,1642470706,3,0.062068966,0.134615385,0.098591549,0.142857143,0.029850746,0.15942029,0.149253731,0,0,0,1,0,0,0,0.116424372,2.663780716,DT,6,0
